onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
21.000	0.167	FIXA	1744.0	1332.3	1746.5	1347.8	0.201	4.695	0.654	1.939
21.167	0.083	SACC	1746.5	1352.8	1452.8	1308.6	3.810	173.975	22.740	46.578
21.250	0.117	FIXA	1452.8	1308.6	1462.6	1298.0	0.185	5.145	0.861	1.752
21.367	0.050	SACC	1462.1	1298.3	1340.8	1321.5	1.584	95.053	0.449	31.834
21.417	0.233	FIXA	1340.8	1321.5	1350.5	1317.7	0.134	4.665	1.147	1.476
21.650	0.167	SACC	1352.6	1316.8	1910.0	1333.5	7.153	280.390	5.542	44.924
21.817	0.117	FIXA	1910.0	1333.5	1908.3	1345.3	0.153	7.543	2.848	2.712
21.933	0.083	SACC	1908.3	1338.6	2181.0	1371.3	3.523	112.182	16.787	46.301
22.017	0.233	FIXA	2181.0	1371.3	2190.1	1383.7	0.197	7.575	1.270	1.696
22.250	0.117	SACC	2190.1	1372.2	-32768.0	-32768.0	626.807	353.046	14.159	107.753
22.367	0.067	FIXA	-32768.0	-32768.0	-32768.0	-32768.0	0.000	0.000	0.000	0.000
22.433	0.083	SACC	-32768.0	-32768.0	1457.7	1309.5	619.553	45.949	3.848	11.391
22.517	0.167	FIXA	1457.4	1309.5	1446.3	1310.3	0.143	3.848	0.768	1.416
22.683	0.067	SACC	1446.3	1308.6	1846.9	1301.8	5.140	219.630	45.026	77.632
22.750	0.150	FIXA	1846.9	1302.9	1867.5	1309.1	0.276	6.917	1.860	2.446
22.900	0.050	SACC	1867.5	1312.2	2146.2	1335.0	3.587	149.603	65.755	72.581
22.950	0.017	LPSO	2146.2	1335.0	2146.2	1335.0	0.000	0.000	0.000	0.000
22.967	0.267	FIXA	2166.9	1338.5	2160.5	1348.6	0.153	16.158	2.040	3.240
23.233	0.067	SACC	2160.5	1340.6	1922.6	1295.9	3.105	131.126	32.960	49.589
23.300	0.117	FIXA	1922.6	1295.9	1913.8	1286.5	0.165	3.791	1.924	1.801
23.417	0.133	SACC	1916.8	1286.5	1624.4	1204.2	3.897	188.062	5.362	31.063
23.550	0.117	FIXA	1624.4	1204.2	1625.4	1208.6	0.058	2.129	0.462	0.635
23.667	0.083	SACC	1624.9	1208.6	-32768.0	-32768.0	620.164	69.135	18.553	31.441
23.750	0.033	FIXA	-32768.0	-32768.0	-32768.0	-32768.0	0.000	0.000	0.000	0.000
23.783	0.067	SACC	-32768.0	-32768.0	1767.2	813.2	617.918	47.879	3.002	13.471
