subject_id,game_difficulty,world_number,time,score,experience,game_status
MA03CL,hard,3,47953.0,22514.0,4,won
MA03CL,hard,4,74970.0,22514.0,4,timed_out
MA03CL,hard,5,68259.0,22514.0,4,won
MA03CL,hard,6,31161.0,22514.0,4,won
MA03CL,hard,7,37119.0,22514.0,4,lost
MA03CL,hard,8,63364.0,22514.0,4,won
MA03CL,hard,9,10181.0,22514.0,4,lost
MA03CL,hard,10,53548.0,22514.0,4,won
MA03CL,hard,11,47961.0,22514.0,4,won
MA03CL,hard,12,59157.0,22514.0,4,won
MA03CL,hard,13,14685.0,22514.0,4,lost
MA03CL,hard,14,74972.0,22514.0,4,timed_out
MA03CL,hard,15,53206.0,22514.0,4,won
MA03CL,hard,16,6655.0,22514.0,4,lost
MA03CL,hard,17,63720.0,22514.0,4,won
MA03CL,hard,18,74976.0,22514.0,4,timed_out
MA03CL,hard,19,32899.0,22514.0,4,won
PA05OL,easy,0,14692.0,11946.0,3,lost
PA05OL,easy,1,35013.0,11946.0,3,won
PA05OL,easy,2,21343.0,11946.0,3,won
PA05OL,easy,3,43404.0,11946.0,3,won
PA05OL,easy,4,12595.0,11946.0,3,lost
PA05OL,easy,5,27308.0,11946.0,3,won
